recipient_id,amount,merchant_category,device_id,location,time_since_last_txn,iso_score,iso_anomaly,svm_score,svm_anomaly
742,135.02,1,1071,3,1.0,0.018097576003960558,0,-5.782743394801557,1
7379,1349.05,1,5119,0,155.0,0.06117379914433296,0,36.45735124529122,0
3878,530.09,3,8134,0,489.0,0.061270807790774706,0,30.05074449972858,0
2155,609.8,3,9569,0,492.0,0.035998116926509116,0,8.92996076475498,0
3412,550.89,2,6068,3,427.0,0.09850039416909756,0,72.99680843980263,0
1287,1890.43,6,827,0,447.0,-0.006387173064705709,1,-9.75967879865594,1
3995,328.52,3,2322,5,256.0,0.08802499807199493,0,43.18666422231527,0
2498,164.15,1,8348,1,298.0,0.06550637627897049,0,35.82104181078947,0
5773,4111.2,5,9363,4,439.0,0.01841617066154011,0,34.17863517442504,0
3025,3416.84,0,9900,0,310.0,-0.009208460929276296,1,5.037926002925161,0
2339,410.48,3,3201,5,117.0,0.09002651748534524,0,29.475864193519584,0
2358,80.5,3,8781,3,382.0,0.08200016403026522,0,45.463832974739574,0
7737,524.27,3,1419,4,329.0,0.08337795655443014,0,44.117445123711235,0
224,699.81,1,9974,5,201.0,0.00815206926773071,0,-10.675024289537788,1
9349,636.37,0,1142,0,223.0,0.017027463188313385,0,-9.478974388115645,1
5655,1382.05,6,5996,0,539.0,0.022075201936149202,0,10.78187592539794,0
6760,4861.18,0,6842,0,333.0,0.016665563653151194,0,19.78640487163611,0
9271,1152.49,6,4390,3,329.0,0.0525951223913429,0,25.021836571561778,0
7873,6167.11,4,9724,5,365.0,-0.002736353620505505,1,3.790323373533184,0
9329,1621.46,6,5143,1,60.0,0.008745489061494749,0,-0.3435817798910392,1
5330,784.05,1,9234,0,374.0,0.042827722029077364,0,23.266075134884062,0
5580,278.83,3,8811,5,557.0,0.047284365842312104,0,10.39866174723565,0
9111,2938.36,6,7340,5,546.0,-0.012599449533565399,1,-11.067791685134537,1
9015,2068.71,5,6631,5,276.0,0.032926216493011196,0,23.787332078560553,0
6685,7675.02,5,9640,1,442.0,-0.03806369821807076,1,2.398858723613131,0
7312,2684.36,0,3762,0,81.0,0.029355114321751974,0,14.683505495674538,0
1705,422.16,1,3423,1,120.0,0.08577589654054757,0,32.62271689150168,0
4408,910.15,3,620,3,557.0,0.05472925141431928,0,31.73591157999809,0
2264,175.7,3,2822,5,544.0,0.048807989049742706,0,15.70261537594007,0
3662,733.15,6,5743,0,480.0,0.027090943081146457,0,13.80434381053034,0
9439,3699.56,0,984,0,171.0,-0.026520725761897235,1,-11.898991053254178,1
7444,230.7,3,7316,4,533.0,0.06863997027261004,0,32.71133900526013,0
1570,927.1,3,8635,4,160.0,0.0782995082044673,0,36.819017281376944,0
4593,999.32,3,4261,0,302.0,0.0844461327119499,0,62.20570387403973,0
560,511.36,3,4484,1,228.0,0.07422635257660382,0,43.14662128655934,0
