Transaction_ID,User_ID,Timestamp,Amount,Transaction_Mode,Transaction_Type,Merchant_Category,UPI_App,Location_State,Device_Type,Is_First_Time_Payee,Days_Since_Last_Txn,Txn_Count_Last_7_Days,Avg_Amt_Last_30_Days,Amount_vs_Avg_Deviation,Weekday_Weekend,Time_Of_Day,Payee_Repetition_Count,Txn_Velocity_Per_Hour,Amount_Velocity_Per_Day,Usual_Transaction_Mode,Mode_Deviation,Merchant_Loyalty_Score,New_Payees_Last_7_Days,Repeat_vs_New_Ratio,Is_Fraud
TXN00001,user_82,2026-03-09 15:36:23.057677,752,UPI_ID,Self Transfer,Bills & Utilities,BHIM,Tamil Nadu,Mobile,True,6,9,953,0,Weekday,Afternoon,3,1.42,1225.29,UPI_ID,False,0.62,1,1.5,0
TXN00002,user_92,2026-02-19 17:49:23.057775,1465,UPI_ID,P2P,Bills & Utilities,BHIM,Delhi,Desktop,True,6,14,619,1,Weekday,Evening,7,0.61,1238.0,Phone Number,True,0.44,4,1.4,0
TXN00003,user_13,2026-03-01 04:45:23.057803,316,Intent Link,P2P,Grocery,Paytm,West Bengal,Desktop,True,2,9,198,1,Weekend,Night,7,4.38,254.57,UPI_ID,True,0.36,4,1.4,0
TXN00004,user_11,2026-02-13 08:28:23.057821,121,QR,P2M,Transportation,Paytm,Maharashtra,Desktop,True,5,4,873,-1,Weekday,Morning,4,0.3,498.86,Phone Number,True,0.37,3,1.0,0
TXN00005,user_35,2026-02-10 19:39:23.057837,1204,QR,P2P,Bills & Utilities,Paytm,Karnataka,Desktop,True,6,18,723,1,Weekday,Evening,10,0.82,1859.14,UPI_ID,True,0.6,2,3.33,0
TXN00006,user_28,2026-02-20 00:58:23.057854,46,Phone Number,Self Transfer,Mobile Recharge,BHIM,West Bengal,Desktop,False,7,15,971,-1,Weekday,Night,4,0.63,2080.71,QR,True,0.3,1,2.0,0
TXN00007,user_97,2026-03-11 13:14:23.057869,1666,Intent Link,Self Transfer,Transportation,BHIM,West Bengal,Desktop,True,3,6,252,6,Weekday,Afternoon,9,0.36,216.0,Intent Link,False,0.58,0,9.0,0
TXN00008,user_83,2026-03-02 13:05:23.057884,368,QR,Self Transfer,Mobile Recharge,GPay,Delhi,Mobile,True,11,14,224,1,Weekday,Afternoon,7,0.76,448.0,Phone Number,True,0.58,0,7.0,0
TXN00009,user_68,2026-02-11 15:45:23.057899,612,Phone Number,P2P,Medical & Pharmacy,GPay,Maharashtra,Mobile,True,15,11,549,0,Weekday,Afternoon,0,0.56,862.71,Phone Number,False,0.88,0,0.0,0
TXN00010,user_17,2026-03-07 18:53:23.057914,867,QR,Self Transfer,Mobile Recharge,PhonePe,Delhi,Desktop,False,14,18,327,2,Weekend,Evening,4,0.83,840.86,Intent Link,True,0.52,4,0.8,0
TXN00011,user_9,2026-03-02 15:46:23.057929,1226,UPI_ID,Self Transfer,Bills & Utilities,GPay,Maharashtra,Mobile,True,10,18,183,6,Weekday,Afternoon,9,6.84,470.57,UPI_ID,False,0.37,1,4.5,0
TXN00012,user_28,2026-02-23 11:37:23.057944,588,QR,P2P,Medical & Pharmacy,GPay,Karnataka,Desktop,False,13,19,398,0,Weekday,Morning,3,1.62,1080.29,Intent Link,True,0.71,3,0.75,0
TXN00013,user_83,2026-03-09 14:58:23.057959,915,Intent Link,P2P,Food & Restaurants,BHIM,Maharashtra,Desktop,False,7,11,796,0,Weekday,Afternoon,3,0.52,1250.86,QR,True,0.25,1,1.5,0
TXN00014,user_71,2026-03-09 14:42:23.057973,403,Intent Link,P2M,Grocery,BHIM,Maharashtra,Desktop,True,5,18,539,0,Weekday,Afternoon,1,1.85,1386.0,QR,True,0.89,1,0.5,0
TXN00015,user_59,2026-03-03 02:39:23.057988,1187,QR,P2P,Medical & Pharmacy,GPay,Delhi,Mobile,True,15,18,94,12,Weekday,Night,2,1.43,241.71,Phone Number,True,0.8,1,1.0,0
TXN00016,user_66,2026-03-10 11:19:23.058002,1217,UPI_ID,Self Transfer,Food & Restaurants,PhonePe,West Bengal,Mobile,True,13,20,212,5,Weekday,Morning,10,1.24,605.71,Intent Link,True,0.6,1,5.0,0
TXN00017,user_34,2026-03-05 18:38:23.058016,135,Phone Number,P2M,Bills & Utilities,Paytm,Tamil Nadu,Mobile,False,3,11,951,-1,Weekday,Evening,4,4.1,1494.43,QR,True,0.35,3,1.0,0
TXN00018,user_45,2026-02-12 13:27:23.058030,1931,Phone Number,Self Transfer,Online Shopping,GPay,West Bengal,Desktop,True,4,8,818,1,Weekday,Afternoon,4,1.13,934.86,Intent Link,True,0.82,1,2.0,0
TXN00019,user_20,2026-03-04 06:45:23.058045,613,Intent Link,P2M,Online Shopping,GPay,Tamil Nadu,Desktop,False,1,7,143,3,Weekday,Morning,3,6.47,143.0,Phone Number,True,0.74,5,0.5,0
TXN00020,user_34,2026-03-06 16:55:23.058058,1370,UPI_ID,Self Transfer,Transportation,PhonePe,West Bengal,Mobile,False,4,18,468,2,Weekday,Afternoon,8,1.65,1203.43,UPI_ID,False,0.23,0,8.0,0
TXN00021,user_6,2026-02-12 05:10:23.058072,248,QR,P2P,Food & Restaurants,PhonePe,Maharashtra,Desktop,True,5,8,520,-1,Weekday,Night,5,0.45,594.29,Intent Link,True,0.43,4,1.0,0
TXN00022,user_86,2026-02-12 16:32:23.058087,74,Intent Link,P2P,Fuel,BHIM,Maharashtra,Mobile,False,11,8,914,-1,Weekday,Afternoon,2,1.0,1044.57,UPI_ID,True,0.76,5,0.33,0
TXN00023,user_4,2026-02-19 09:58:23.058100,521,Intent Link,Self Transfer,Fuel,Paytm,Tamil Nadu,Mobile,False,5,11,679,0,Weekday,Morning,1,0.77,1067.0,Phone Number,True,0.89,2,0.33,1
TXN00024,user_77,2026-02-27 04:37:23.058114,627,Intent Link,Self Transfer,Transportation,PhonePe,Delhi,Mobile,False,0,11,544,0,Weekday,Night,9,0.85,854.86,UPI_ID,True,0.76,4,1.8,0
TXN00025,user_95,2026-02-16 19:11:23.058127,1096,Phone Number,Self Transfer,Transportation,GPay,Delhi,Desktop,False,10,12,226,4,Weekday,Evening,1,1.17,387.43,Phone Number,False,0.41,5,0.17,0
TXN00026,user_54,2026-02-19 03:40:23.058141,1939,Phone Number,P2M,Fuel,PhonePe,Karnataka,Desktop,False,14,6,786,1,Weekday,Night,6,0.54,673.71,UPI_ID,True,0.35,4,1.2,0
TXN00027,user_95,2026-03-06 19:18:23.058156,1879,QR,P2P,Online Shopping,PhonePe,Tamil Nadu,Mobile,True,15,10,900,1,Weekday,Evening,1,0.66,1285.71,Phone Number,True,0.74,1,0.5,0
TXN00028,user_81,2026-02-22 09:38:23.058171,1198,UPI_ID,P2P,Medical & Pharmacy,BHIM,Maharashtra,Mobile,False,1,13,926,0,Weekend,Morning,6,0.94,1719.71,QR,True,0.84,1,3.0,0
TXN00029,user_18,2026-02-15 01:41:23.058185,182,Intent Link,P2P,Online Shopping,BHIM,Karnataka,Desktop,True,8,17,236,0,Weekend,Night,7,0.91,573.14,Intent Link,False,0.56,4,1.4,0
TXN00030,user_36,2026-02-26 13:38:23.058199,95,UPI_ID,P2P,Bills & Utilities,PhonePe,Maharashtra,Desktop,True,6,10,359,-1,Weekday,Afternoon,4,4.04,512.86,Phone Number,True,0.49,2,1.33,0
TXN00031,user_54,2026-03-11 09:30:23.058212,780,Intent Link,P2M,Transportation,GPay,Delhi,Desktop,False,13,14,308,2,Weekday,Morning,9,1.05,616.0,UPI_ID,True,0.71,5,1.5,0
TXN00032,user_29,2026-02-25 09:06:23.058226,1658,Intent Link,Self Transfer,Medical & Pharmacy,PhonePe,Karnataka,Mobile,True,12,14,389,3,Weekday,Morning,0,0.96,778.0,Phone Number,True,0.66,3,0.0,0
TXN00033,user_55,2026-03-08 02:12:23.058240,565,Intent Link,P2M,Fuel,Paytm,Karnataka,Desktop,False,8,2,566,0,Weekend,Night,6,0.1,161.71,QR,True,0.53,2,2.0,0
TXN00034,user_7,2026-02-10 05:09:23.058253,286,UPI_ID,Self Transfer,Grocery,PhonePe,Maharashtra,Mobile,False,3,3,812,-1,Weekday,Night,0,0.21,348.0,QR,True,0.35,1,0.0,0
TXN00035,user_99,2026-03-01 10:45:23.058267,154,UPI_ID,P2M,Food & Restaurants,BHIM,Karnataka,Mobile,True,7,20,988,-1,Weekend,Morning,2,5.98,2822.86,UPI_ID,False,0.74,2,0.67,0
TXN00036,user_77,2026-02-15 12:33:23.058281,1546,Phone Number,P2P,Grocery,Paytm,Tamil Nadu,Desktop,False,3,19,239,5,Weekend,Afternoon,5,1.73,648.71,Intent Link,True,0.45,4,1.0,0
TXN00037,user_59,2026-02-18 11:56:23.058294,16,Intent Link,P2M,Fuel,Paytm,Delhi,Mobile,True,8,6,825,-1,Weekday,Morning,9,0.28,707.14,Intent Link,False,0.37,4,1.8,0
TXN00038,user_79,2026-02-19 04:02:23.058308,1415,QR,P2M,Medical & Pharmacy,Paytm,Delhi,Desktop,False,0,1,743,1,Weekday,Night,5,0.08,106.14,Intent Link,True,0.33,1,2.5,0
TXN00039,user_53,2026-02-24 22:35:23.058322,1544,Intent Link,P2P,Medical & Pharmacy,GPay,Delhi,Mobile,False,7,8,120,12,Weekday,Night,10,0.99,137.14,Intent Link,False,0.61,5,1.67,0
TXN00040,user_68,2026-03-01 02:36:23.058335,720,Phone Number,P2M,Online Shopping,Paytm,Maharashtra,Mobile,True,10,18,160,4,Weekend,Night,5,4.8,411.43,Intent Link,True,0.58,5,0.83,0
TXN00041,user_24,2026-03-06 09:36:23.058349,1727,UPI_ID,P2P,Fuel,Paytm,Maharashtra,Desktop,True,9,16,642,2,Weekday,Morning,9,12.07,1467.43,Phone Number,True,0.57,4,1.8,0
TXN00042,user_7,2026-02-23 06:39:23.058363,665,Intent Link,P2M,Medical & Pharmacy,BHIM,Delhi,Mobile,True,8,5,110,5,Weekday,Morning,1,0.22,78.57,Phone Number,True,0.53,0,1.0,0
