Transaction_ID,User_ID,Timestamp,Amount,Transaction_Mode,Transaction_Type,Merchant_Category,UPI_App,Location_State,Device_Type,Is_First_Time_Payee,Days_Since_Last_Txn,Txn_Count_Last_7_Days,Avg_Amt_Last_30_Days,Amount_vs_Avg_Deviation,Weekday_Weekend,Time_Of_Day,Payee_Repetition_Count,Txn_Velocity_Per_Hour,Amount_Velocity_Per_Day,Usual_Transaction_Mode,Mode_Deviation,Merchant_Loyalty_Score,New_Payees_Last_7_Days,Repeat_vs_New_Ratio,Is_Fraud
TXN00001,user_82,2026-03-09 15:36:26.500718,222,Intent Link,P2P,Bills & Utilities,PhonePe,West Bengal,Mobile,True,9,5,347,-0.36,Weekday,Afternoon,2,0.06,247.86,Intent Link,False,0.62,0,2.0,0
TXN00002,user_36,2026-02-15 15:35:26.500796,520,Phone Number,P2M,Food & Restaurants,Paytm,Delhi,Desktop,True,8,3,619,-0.16,Weekend,Afternoon,3,0.03,265.29,Phone Number,False,0.89,1,1.5,0
TXN00003,user_49,2026-03-09 23:05:26.500832,778,UPI_ID,P2M,Food & Restaurants,PhonePe,Tamil Nadu,Desktop,False,8,11,571,0.36,Weekday,Night,4,0.1,897.29,UPI_ID,False,0.58,0,4.0,0
TXN00004,user_48,2026-03-01 09:41:26.500851,735,QR,P2M,Fuel,PhonePe,Delhi,Mobile,True,1,5,621,0.18,Weekend,Morning,2,0.04,443.57,QR,False,0.6,1,1.0,0
TXN00005,user_9,2026-03-05 21:27:26.500869,449,QR,P2P,Fuel,BHIM,West Bengal,Desktop,False,4,12,389,0.15,Weekday,Night,7,0.07,666.86,QR,False,0.47,3,1.75,0
TXN00006,user_64,2026-03-10 14:28:26.500888,193,Intent Link,P2M,Fuel,GPay,Tamil Nadu,Desktop,False,2,2,292,-0.34,Weekday,Afternoon,7,0.03,83.43,Intent Link,False,0.48,0,7.0,0
TXN00007,user_1,2026-02-09 16:27:26.500913,358,QR,P2P,Online Shopping,PhonePe,West Bengal,Mobile,False,8,12,358,0.0,Weekday,Afternoon,3,0.45,613.71,Phone Number,True,0.86,0,3.0,0
TXN00008,user_40,2026-03-05 15:08:26.500932,450,QR,P2M,Mobile Recharge,Paytm,West Bengal,Desktop,True,9,10,768,-0.41,Weekday,Afternoon,8,0.08,1097.14,QR,False,0.12,8,8.0,1
TXN00009,user_92,2026-03-03 03:41:26.500952,2282,QR,P2M,Grocery,PhonePe,West Bengal,Mobile,True,2,11,424,4.38,Weekday,Night,8,0.09,666.29,QR,False,0.43,0,8.0,1
TXN00010,user_9,2026-02-12 14:28:26.500968,179,QR,Self Transfer,Medical & Pharmacy,PhonePe,Karnataka,Desktop,True,2,6,243,-0.26,Weekday,Afternoon,8,0.16,208.29,QR,False,0.62,1,4.0,0
